steps,scenario,circle
13.0,Optimal,False
21.0,Optimal,False
21.0,Optimal,False
15.0,Optimal,False
22.0,Optimal,False
10.0,Optimal,False
15.0,Optimal,False
20.0,Optimal,False
22.0,Optimal,False
11.0,Optimal,False
12.0,Optimal,False
10.0,Optimal,False
11.0,Optimal,False
11.0,Optimal,False
20.0,Optimal,False
19.0,Optimal,False
14.0,Optimal,False
18.0,Optimal,False
15.0,Optimal,False
13.0,Optimal,False
11.0,Optimal,False
9.0,Optimal,False
18.0,Optimal,False
15.0,Optimal,False
17.0,Optimal,False
12.0,Optimal,False
12.0,Optimal,False
9.0,Optimal,False
13.0,Optimal,False
7.0,Optimal,False
14.0,Optimal,False
12.0,Optimal,False
10.0,Optimal,False
15.0,Optimal,False
15.0,Optimal,False
10.0,Optimal,False
9.0,Optimal,False
14.0,Optimal,False
13.0,Optimal,False
16.0,Optimal,False
14.0,Optimal,False
16.0,Optimal,False
11.0,Optimal,False
10.0,Optimal,False
17.0,Optimal,False
22.0,Optimal,False
18.0,Optimal,False
8.0,Optimal,False
23.0,Optimal,False
19.0,Optimal,False
16.0,Optimal,False
16.0,Optimal,False
14.0,Optimal,False
13.0,Optimal,False
23.0,Optimal,False
19.0,Optimal,False
21.0,Optimal,False
15.0,Optimal,False
24.0,Optimal,False
14.0,Optimal,False
8.0,Optimal,False
11.0,Optimal,False
22.0,Optimal,False
13.0,Optimal,False
11.0,Optimal,False
13.0,Optimal,False
27.0,Optimal,False
11.0,Optimal,False
15.0,Optimal,False
11.0,Optimal,False
25.0,Optimal,False
16.0,Optimal,False
22.0,Optimal,False
10.0,Optimal,False
22.0,Optimal,False
11.0,Optimal,False
16.0,Optimal,False
18.0,Optimal,False
12.0,Optimal,False
12.0,Optimal,False
12.0,Optimal,False
17.0,Optimal,False
9.0,Optimal,False
12.0,Optimal,False
20.0,Optimal,False
14.0,Optimal,False
17.0,Optimal,False
13.0,Optimal,False
20.0,Optimal,False
18.0,Optimal,False
12.0,Optimal,False
14.0,Optimal,False
16.0,Optimal,False
16.0,Optimal,False
10.0,Optimal,False
32.0,Optimal,False
7.0,Optimal,False
18.0,Optimal,False
9.0,Optimal,False
11.0,Optimal,False
12.0,Optimal,False
11.0,Optimal,False
20.0,Optimal,False
17.0,Optimal,False
13.0,Optimal,False
15.0,Optimal,False
17.0,Optimal,False
21.0,Optimal,False
16.0,Optimal,False
13.0,Optimal,False
12.0,Optimal,False
8.0,Optimal,False
17.0,Optimal,False
25.0,Optimal,False
15.0,Optimal,False
11.0,Optimal,False
16.0,Optimal,False
15.0,Optimal,False
8.0,Optimal,False
14.0,Optimal,False
18.0,Optimal,False
11.0,Optimal,False
10.0,Optimal,False
14.0,Optimal,False
5.0,Optimal,False
13.0,Optimal,False
14.0,Optimal,False
10.0,Optimal,False
20.0,Optimal,False
12.0,Optimal,False
13.0,Optimal,False
22.0,Optimal,False
16.0,Optimal,False
13.0,Optimal,False
9.0,Optimal,False
23.0,Optimal,False
10.0,Optimal,False
16.0,Optimal,False
10.0,Optimal,False
37.0,Optimal,False
10.0,Optimal,False
9.0,Optimal,False
13.0,Optimal,False
22.0,Optimal,False
6.0,Optimal,False
21.0,Optimal,False
7.0,Optimal,False
11.0,Optimal,False
27.0,Optimal,False
15.0,Optimal,False
19.0,Optimal,False
11.0,Optimal,False
16.0,Optimal,False
8.0,Optimal,False
18.0,Optimal,False
13.0,Optimal,False
16.0,Optimal,False
7.0,Optimal,False
11.0,Optimal,False
17.0,Optimal,False
17.0,Optimal,False
13.0,Optimal,False
